game_id,stack,flop_position,nb_players_start,cards,pot_size_before_decision,nb_unfolded_players,money_to_add_to_call,hand_strength,hand_pos_potential,hand_neg_potential,last_raise__preflop_player,last_raise_flopplayer,flop,mise en cas de raise/bet,decision
808803002,13.5,1,5,Ad Ac,8.75,4,2.5,0.9662349676225717,0.0918918918918919,0.051228070175438595,2,2,3d 2d Kc,0.0,calls
808803002,11.0,0,5,Ad Ac,24.75,2,13.5,0.9662349676225717,0.0918918918918919,0.051228070175438595,1,1,3d 2d Kc,0.0,calls
808802670,13.35,0,7,Ad Qc,8.899999999999999,3,3.45,0.7257169287696578,0.07906976744186046,0.1240388677651035,0,1,6d 2c 2s,0.0,folds
808802351,9.26,0,5,9s 8s,3.0,2,1.42,0.8889916743755781,0.06684733514001806,0.1245850622406639,0,-1,4c 6c 8h,1.42,bets
808802351,7.84,0,5,9s 8s,14.42,2,10.0,0.8889916743755781,0.06684733514001806,0.1245850622406639,0,1,4c 6c 8h,7.84,raises
808802064,6.95,1,5,8d Ts,1.2,2,0.0,0.18177613320999075,0.10243719535058118,0.14814814814814814,0,-1,9h 5d 2d,0.0,checks
808802064,6.95,1,5,8d Ts,1.77,2,0.57,0.18177613320999075,0.10243719535058118,0.14814814814814814,0,0,9h 5d 2d,0.0,folds
808801046,27.7,0,5,Ks Th,6.8999999999999995,4,3.28,0.9444958371877891,0.07724867724867725,0.065625,0,-1,2h Tc 5s,3.28,bets
808800420,11.01,0,4,8s 2c,1.0,2,0.0,0.0818686401480111,0.08538950183884988,0.15197132616487455,-1,-1,4c Qh 7d,0.0,checks
808799468,28.0,1,3,6c 4c,6.0,3,0.0,0.05226641998149861,0.18190260231076558,0.07777777777777778,0,-1,7c 3h 7h,0.0,checks
808799468,28.0,1,3,6c 4c,12.0,3,3.0,0.05226641998149861,0.18190260231076558,0.07777777777777778,0,0,7c 3h 7h,0.0,calls
808799083,28.0,1,2,9c Td,4.0,2,0.0,0.24421831637372804,0.07798078224387603,0.19154228855721392,0,-1,Qh 3h 7h,0.0,checks
808799083,28.0,1,2,9c Td,6.529999999999999,2,2.53,0.24421831637372804,0.07798078224387603,0.19154228855721392,0,0,Qh 3h 7h,0.0,folds
808798989,14.5,2,5,9d 6d,1.5,3,0.0,0.7964847363552267,0.2831091180866966,0.06710390946502058,-1,-1,Jd 5d 9s,0.0,checks
808798989,14.5,2,5,9d 6d,2.0,3,0.5,0.7964847363552267,0.2831091180866966,0.06710390946502058,-1,0,Jd 5d 9s,5.0,raises
808798300,14.5,0,6,9c Ks,1.5,2,0.5,0.9361702127659575,0.06944444444444445,0.042627257799671595,-1,1,Kc 7s 3d,0.0,calls
808797103,12.5,0,5,4s 4d,10.5,2,4.5,0.862627197039778,0.041759880686055184,0.1249017506252233,1,1,3s 5s 5d,0.0,calls
808796381,13.31,1,8,3c 3h,3.25,2,0.0,0.6054579093432008,0.04246682279469165,0.13068702290076337,0,-1,Qd 6h 5s,0.0,checks
808796381,13.31,1,8,3c 3h,4.95,2,1.7,0.6054579093432008,0.04246682279469165,0.13068702290076337,0,0,Qd 6h 5s,0.0,folds
808795884,27.5,1,5,8h 9h,6.5,2,2.06,0.8112858464384829,0.0930756843800322,0.07765151515151515,1,-1,2d 9d As,2.06,bets
808795434,12.84,0,6,Qs Js,2.75,2,1.05,0.3593894542090657,0.362649450023912,0.08052021487135991,0,-1,8s Ts 3h,1.05,bets
808795140,29.0,1,6,5c Qh,2.5,2,0.0,0.8325624421831638,0.0642512077294686,0.19719453672942044,-1,-1,Qs Ts Js,0.0,checks
808795140,29.0,1,6,5c Qh,4.5,2,2.0,0.8325624421831638,0.0642512077294686,0.19719453672942044,-1,0,Qs Ts Js,0.0,folds
808795053,24.0,1,5,5c 6h,18.0,3,0.0,0.6632747456059205,0.16769603390856797,0.12016975308641975,2,-1,9s 5s 8d,27.17,raises
808794869,13.0,0,6,2d Ad,4.0,2,0.0,0.47779833487511564,0.15787932044522554,0.18069950949029645,0,-1,Qd Js Ts,0.0,checks
808794099,13.5,0,6,Jd 9d,4.25,2,1.0,0.3482886216466235,0.09860523428929635,0.14094488188976378,0,1,2h 2c 5c,0.0,folds
808793530,18.0,0,6,3c 7c,5.0,2,2.37,0.09296947271045329,0.2619402143260011,0.10793650793650794,0,-1,5c Jc Qh,2.37,bets
808793071,9.0,0,8,Kc Qd,3.0,3,0.95,0.9935245143385754,0.0345679012345679,0.028066914498141263,0,-1,Kh Qh 7s,0.95,bets
808792542,24.0,1,6,Jd As,13.0,2,4.11,0.5851063829787234,0.09271523178807947,0.12757718472004187,1,-1,9s 4s Kd,4.11,bets
808792086,15.93,0,6,8s Ks,20.65,2,6.65,0.562904717853839,0.07435359888190077,0.13942359978249047,1,1,2c 9s 2h,0.0,folds
808791890,8.75,0,8,2h 2d,2.75,2,0.0,0.5999074930619797,0.04249422632794457,0.14545454545454545,0,-1,4h 8s Jc,0.0,checks
808791655,29.0,1,6,2h Jh,2.0,2,1.0,0.29278445883441256,0.11365409622886866,0.1312564901349948,-1,-1,9c Th 9s,1.0,bets
808791346,27.0,1,6,7c 4c,6.5,2,0.0,0.09296947271045329,0.08074450084602369,0.09523809523809523,0,-1,2d Kh 9s,0.0,checks
808790929,14.5,1,6,Ts 9s,1.25,2,0.0,0.9195189639222942,0.07777777777777778,0.08244734202607823,-1,-1,4c Td 6h,0.0,checks
808790591,13.5,1,6,Ad Tc,3.25,2,0.0,0.562904717853839,0.10440251572327044,0.13355084284937466,0,-1,9d 3h 4s,0.0,checks
808789874,28.0,0,6,Ah 5h,6.529999999999999,2,2.53,0.5296022201665125,0.2633961446826944,0.09959560947429232,1,1,7s Jh 3h,0.0,calls
808789802,12.5,1,6,Ah Qh,5.5,2,1.74,0.7257169287696578,0.08305647840531562,0.11863117870722434,1,-1,Js 3h Jd,1.74,bets
808789802,10.76,1,6,Ah Qh,10.72,2,3.48,0.7257169287696578,0.08305647840531562,0.11863117870722434,1,0,Js 3h Jd,0.0,folds
808789740,4.25,0,4,3h Ah,2.25,2,0.75,0.9121184088806661,0.25691609977324265,0.029210201100999887,1,1,4h As 9h,1.5,raises
808789598,9.5,2,7,Ts 2s,1.5,3,0.0,0.7798334875115633,0.14153988012909174,0.08033884948778566,-1,-1,Td Ah 8h,0.0,checks
808789598,9.5,2,7,Ts 2s,2.0,3,0.5,0.7798334875115633,0.14153988012909174,0.08033884948778566,-1,0,Td Ah 8h,0.0,calls
808789118,26.28,0,5,Jd 9d,4.5,2,0.0,0.8297872340425532,0.09233511586452763,0.06277777777777778,0,-1,2h Js Ah,0.0,checks
808789023,13.75,1,6,8s Ts,2.75,2,0.0,0.8242368177613321,0.08911917098445596,0.087248322147651,0,-1,As 9d Td,0.0,checks
808788359,26.7,1,5,Th Td,6.6,2,4.18,0.9440333024976874,0.073224043715847,0.0910218739797584,1,-1,2d 9h 6h,4.18,bets
808786971,13.75,1,6,6d Td,2.75,2,0.0,0.3371877890841813,0.057882570503929726,0.16347485697079192,0,-1,Qh Jc 7c,0.0,checks
808786971,13.75,1,6,6d Td,4.25,2,1.5,0.3371877890841813,0.057882570503929726,0.16347485697079192,0,0,Qh Jc 7c,0.0,folds
808785640,21.8,1,5,Qs 2s,4.5,2,0.0,0.6873265494912119,0.09912023460410557,0.1290437890974084,0,-1,9s 2d 3h,0.0,checks
808784144,12.85,1,6,Qh Ac,4.8,2,0.0,0.7257169287696578,0.08696936138796604,0.1521335023236164,1,-1,8s 9s 8h,0.0,checks
808783946,28.0,1,6,9c As,4.5,2,0.0,0.6924144310823311,0.08486646884272997,0.13368747233289066,0,-1,8c 8s 6h,0.0,checks
808783946,28.0,1,6,9c As,7.5,2,3.0,0.6924144310823311,0.08486646884272997,0.13368747233289066,0,0,8c 8s 6h,0.0,folds
808783721,27.5,0,6,As Kc,5.5,2,2.61,0.5962072155411656,0.11020408163265306,0.1314843348741654,0,-1,7c 3d Ts,2.61,bets
808783257,14.5,0,6,7s 4d,1.0,2,0.0,0.10407030527289547,0.07233070686308096,0.1818613485280152,-1,-1,Ts Qh 5h,0.0,checks
808782276,28.0,1,6,Ts 4s,4.0,2,0.0,0.21877890841813136,0.08148148148148149,0.14979253112033195,0,-1,Jh 6s 3h,0.0,checks
808782276,28.0,1,6,Ts 4s,6.529999999999999,2,2.53,0.21877890841813136,0.08148148148148149,0.14979253112033195,0,0,Jh 6s 3h,0.0,folds
808781515,13.75,1,5,Qd 8d,4.0,3,0.0,0.43709528214616095,0.09686423781040421,0.15129280223619845,1,-1,7h 5h 5d,0.0,checks
808781515,13.75,1,5,Qd 8d,6.0,2,2.0,0.43709528214616095,0.09686423781040421,0.15129280223619845,1,0,7h 5h 5d,0.0,folds
808781091,21.9,1,6,4h Th,2.0,2,1.0,0.3149861239592969,0.09682326621923937,0.1522705314009662,-1,-1,5s Ad 5c,1.0,bets
808780648,13.85,0,5,Ad 6s,2.55,2,0.0,0.7243293246993524,0.09988925802879291,0.07633587786259542,0,-1,Kd Qc 6h,0.0,checks
808779423,28.0,1,5,As 9d,6.0,3,0.0,0.9269195189639223,0.052845528455284556,0.0626865671641791,0,-1,Ad 4c 3h,0.0,checks
